has.passed,parent.batch.id,failure.reason.group
0,2393516,NO REASON GIVEN
1,2393539,NO REASON GIVEN
0,2393817,NO REASON GIVEN
1,2393876,NO REASON GIVEN
0,2393886,NO REASON GIVEN
0,2393971,UNKNOWN
0,2395282,NO REASON GIVEN
1,2395290,NO REASON GIVEN
1,2395507,NO REASON GIVEN
1,2395665,NO REASON GIVEN
1,2395777,NO REASON GIVEN
1,2395778,NO REASON GIVEN
1,2396251,NO REASON GIVEN
1,2396252,NO REASON GIVEN
0,2396495,NO REASON GIVEN
1,2396555,NO REASON GIVEN
0,2396761,NO REASON GIVEN
1,2396941,NO REASON GIVEN
0,2396978,NO REASON GIVEN
0,2396998,UNKNOWN
1,2397002,NO REASON GIVEN
1,2397095,NO REASON GIVEN
0,2397180,NO REASON GIVEN
1,2397335,NO REASON GIVEN
1,2397372,NO REASON GIVEN
1,2397486,NO REASON GIVEN
1,2397594,NO REASON GIVEN
1,2397648,NO REASON GIVEN
1,2397681,NO REASON GIVEN
0,2397688,NO REASON GIVEN
1,2397730,NO REASON GIVEN
0,2397939,NO REASON GIVEN
1,2398057,NO REASON GIVEN
1,2398073,NO REASON GIVEN
0,2398092,NO REASON GIVEN
0,2398208,NO REASON GIVEN
0,2398562,NO REASON GIVEN
1,2398616,NO REASON GIVEN
1,2398710,NO REASON GIVEN
1,2399091,NO REASON GIVEN
1,2399278,NO REASON GIVEN
1,2399333,NO REASON GIVEN
0,2399461,NO REASON GIVEN
1,2399482,NO REASON GIVEN
1,2399718,NO REASON GIVEN
1,2399951,NO REASON GIVEN
0,2400011,UNKNOWN
0,2400032,NO REASON GIVEN
1,2400251,NO REASON GIVEN
0,2400268,NO REASON GIVEN
1,2400323,NO REASON GIVEN
1,2400503,NO REASON GIVEN
1,2400548,NO REASON GIVEN
1,2400607,NO REASON GIVEN
1,2400671,NO REASON GIVEN
0,2400717,NO REASON GIVEN
0,2401140,NO REASON GIVEN
0,2401449,NO REASON GIVEN
0,2401546,NO REASON GIVEN
0,2401554,NO REASON GIVEN
1,2401612,NO REASON GIVEN
0,2401660,NO REASON GIVEN
0,2401924,UNKNOWN
1,2401957,NO REASON GIVEN
1,2401972,NO REASON GIVEN
0,2401976,NO REASON GIVEN
0,2402121,NO REASON GIVEN
1,2402212,NO REASON GIVEN
1,2402328,NO REASON GIVEN
1,2402340,NO REASON GIVEN
0,2402361,NO REASON GIVEN
0,2402422,NO REASON GIVEN
0,2402481,NO REASON GIVEN
1,2403614,NO REASON GIVEN
0,2403620,NO REASON GIVEN
1,2403629,NO REASON GIVEN
0,2403654,NO REASON GIVEN
1,2404045,NO REASON GIVEN
0,2404186,NO REASON GIVEN
0,2404225,NO REASON GIVEN
1,2404253,NO REASON GIVEN
0,2404310,NO REASON GIVEN
0,2404324,NO REASON GIVEN
1,2404437,NO REASON GIVEN
1,2404438,NO REASON GIVEN
0,2404460,NO REASON GIVEN
1,2404476,NO REASON GIVEN
1,2404507,NO REASON GIVEN
0,2404604,NO REASON GIVEN
1,2404660,NO REASON GIVEN
0,2404676,NO REASON GIVEN
1,2404771,NO REASON GIVEN
1,2404901,NO REASON GIVEN
0,2404951,NO REASON GIVEN
0,2405145,NO REASON GIVEN
1,2405147,NO REASON GIVEN
1,2405161,NO REASON GIVEN
1,2405193,NO REASON GIVEN
1,2405214,NO REASON GIVEN
0,2405264,NO REASON GIVEN
1,2405278,NO REASON GIVEN
1,2405369,NO REASON GIVEN
1,2405386,NO REASON GIVEN
1,2405527,NO REASON GIVEN
0,2405535,NO REASON GIVEN
1,2405556,NO REASON GIVEN
1,2405581,NO REASON GIVEN
1,2405968,NO REASON GIVEN
0,2405991,NO REASON GIVEN
0,2406032,NO REASON GIVEN
0,2406052,NO REASON GIVEN
1,2406205,NO REASON GIVEN
1,2406241,NO REASON GIVEN
1,2406277,NO REASON GIVEN
1,2406460,NO REASON GIVEN
1,2406492,NO REASON GIVEN
0,2406653,NO REASON GIVEN
0,2406740,NO REASON GIVEN
1,2406759,NO REASON GIVEN
0,2406760,NO REASON GIVEN
1,2406761,NO REASON GIVEN
1,2406782,NO REASON GIVEN
0,2406792,NO REASON GIVEN
1,2406798,NO REASON GIVEN
0,2406958,NO REASON GIVEN
1,2406963,NO REASON GIVEN
1,2406969,NO REASON GIVEN
0,2407040,NO REASON GIVEN
1,2407047,NO REASON GIVEN
0,2407105,NO REASON GIVEN
1,2407304,NO REASON GIVEN
0,2407383,NO REASON GIVEN
1,2407413,NO REASON GIVEN
1,2407435,NO REASON GIVEN
1,2407524,NO REASON GIVEN
0,2407529,OPERATOR
1,2407637,NO REASON GIVEN
1,2407658,NO REASON GIVEN
1,2407711,NO REASON GIVEN
1,2407723,NO REASON GIVEN
0,2408089,NO REASON GIVEN
1,2408113,NO REASON GIVEN
0,2408114,NO REASON GIVEN
1,2408168,NO REASON GIVEN
1,2408208,NO REASON GIVEN
1,2408217,NO REASON GIVEN
1,2408230,NO REASON GIVEN
1,2408268,NO REASON GIVEN
1,2408497,NO REASON GIVEN
1,2408537,NO REASON GIVEN
0,2408592,NO REASON GIVEN
1,2408593,NO REASON GIVEN
1,2408704,NO REASON GIVEN
1,2408719,NO REASON GIVEN
0,2409702,NO REASON GIVEN
1,2409720,NO REASON GIVEN
0,2409949,NO REASON GIVEN
1,2409978,NO REASON GIVEN
1,2410128,NO REASON GIVEN
1,2410248,NO REASON GIVEN
1,2410255,NO REASON GIVEN
1,2410256,NO REASON GIVEN
1,2410358,NO REASON GIVEN
1,2410447,NO REASON GIVEN
1,2410465,NO REASON GIVEN
1,2410589,NO REASON GIVEN
1,2410656,NO REASON GIVEN
0,2410867,NO REASON GIVEN
1,2410994,NO REASON GIVEN
1,2411030,NO REASON GIVEN
1,2411054,NO REASON GIVEN
1,2411250,NO REASON GIVEN
0,2411362,NO REASON GIVEN
1,2411456,NO REASON GIVEN
1,2411521,NO REASON GIVEN
1,2411812,NO REASON GIVEN
1,2411904,NO REASON GIVEN
1,2411942,NO REASON GIVEN
1,2411998,NO REASON GIVEN
1,2412029,NO REASON GIVEN
1,2412041,NO REASON GIVEN
1,2412174,NO REASON GIVEN
1,2412206,NO REASON GIVEN
1,2412233,NO REASON GIVEN
1,2412308,NO REASON GIVEN
0,2412336,NO REASON GIVEN
1,2412389,NO REASON GIVEN
0,2412474,NO REASON GIVEN
0,2412520,NO REASON GIVEN
1,2412610,NO REASON GIVEN
1,2412674,NO REASON GIVEN
1,2412753,NO REASON GIVEN
1,2412779,NO REASON GIVEN
1,2412839,NO REASON GIVEN
1,2412866,NO REASON GIVEN
0,2412903,OPERATOR
0,2412940,NO REASON GIVEN
1,2412958,NO REASON GIVEN
0,2412980,NO REASON GIVEN
1,2412985,NO REASON GIVEN
0,2412994,NO REASON GIVEN
1,2413079,NO REASON GIVEN
0,2413348,NO REASON GIVEN
0,2413362,NO REASON GIVEN
1,2413380,NO REASON GIVEN
0,2413479,NO REASON GIVEN
1,2413510,NO REASON GIVEN
0,2413582,NO REASON GIVEN
1,2413730,NO REASON GIVEN
1,2413787,NO REASON GIVEN
1,2413820,NO REASON GIVEN
1,2413845,NO REASON GIVEN
0,2413967,NO REASON GIVEN
1,2414067,NO REASON GIVEN
1,2414074,NO REASON GIVEN
1,2414301,NO REASON GIVEN
0,2414334,NO REASON GIVEN
0,2414345,NO REASON GIVEN
0,2414356,NO REASON GIVEN
1,2414412,NO REASON GIVEN
1,2414693,NO REASON GIVEN
1,2414888,NO REASON GIVEN
1,2414961,NO REASON GIVEN
0,2415133,NO REASON GIVEN
1,2415184,NO REASON GIVEN
1,2415236,NO REASON GIVEN
1,2415289,NO REASON GIVEN
0,2415291,UNKNOWN
1,2415299,NO REASON GIVEN
1,2415415,NO REASON GIVEN
1,2415681,NO REASON GIVEN
0,2415818,NO REASON GIVEN
1,2415865,NO REASON GIVEN
1,2415945,NO REASON GIVEN
0,2416076,NO REASON GIVEN
0,2416140,NO REASON GIVEN
1,2416143,NO REASON GIVEN
1,2416159,NO REASON GIVEN
0,2416326,NO REASON GIVEN
1,2416346,NO REASON GIVEN
1,2416429,NO REASON GIVEN
1,2416483,NO REASON GIVEN
1,2417010,NO REASON GIVEN
1,2417011,NO REASON GIVEN
1,2417093,NO REASON GIVEN
0,2417200,NO REASON GIVEN
0,2417210,NO REASON GIVEN
1,2417220,NO REASON GIVEN
1,2417255,NO REASON GIVEN
1,2417261,NO REASON GIVEN
0,2417373,NO REASON GIVEN
1,2417395,NO REASON GIVEN
0,2417396,NO REASON GIVEN
1,2417474,NO REASON GIVEN
0,2417743,NO REASON GIVEN
0,2417787,NO REASON GIVEN
0,2417856,NO REASON GIVEN
1,2418026,NO REASON GIVEN
1,2418088,NO REASON GIVEN
1,2418192,NO REASON GIVEN
1,2418241,NO REASON GIVEN
0,2418248,NO REASON GIVEN
0,2418388,NO REASON GIVEN
1,2418398,NO REASON GIVEN
1,2418401,NO REASON GIVEN
0,2418466,NO REASON GIVEN
0,2418549,UNKNOWN
1,2418658,NO REASON GIVEN
1,2418798,NO REASON GIVEN
1,2418877,NO REASON GIVEN
1,2418938,NO REASON GIVEN
1,2418961,NO REASON GIVEN
1,2418986,NO REASON GIVEN
1,2419004,NO REASON GIVEN
0,2419028,NO REASON GIVEN
1,2419032,NO REASON GIVEN
1,2419038,NO REASON GIVEN
1,2419039,NO REASON GIVEN
0,2419051,NO REASON GIVEN
1,2419094,NO REASON GIVEN
1,2419104,NO REASON GIVEN
1,2419112,NO REASON GIVEN
1,2419311,NO REASON GIVEN
1,2419353,NO REASON GIVEN
0,2419540,NO REASON GIVEN
0,2419622,NO REASON GIVEN
1,2419932,NO REASON GIVEN
1,2419933,NO REASON GIVEN
1,2420047,NO REASON GIVEN
1,2420105,NO REASON GIVEN
1,2420152,NO REASON GIVEN
1,2420219,NO REASON GIVEN
0,2420612,NO REASON GIVEN
0,2420715,NO REASON GIVEN
0,2421113,NO REASON GIVEN
1,2421182,NO REASON GIVEN
1,2421274,NO REASON GIVEN
1,2421420,NO REASON GIVEN
0,2421522,NO REASON GIVEN
0,2422581,NO REASON GIVEN
1,2422694,NO REASON GIVEN
0,2422737,NO REASON GIVEN
0,2422878,NO REASON GIVEN
1,2422915,NO REASON GIVEN
0,2422919,NO REASON GIVEN
0,2422920,NO REASON GIVEN
0,2422947,NO REASON GIVEN
1,2422964,NO REASON GIVEN
0,2422977,NO REASON GIVEN
1,2422989,NO REASON GIVEN
1,2422997,NO REASON GIVEN
1,2423035,NO REASON GIVEN
0,2423054,NO REASON GIVEN
0,2423141,NO REASON GIVEN
0,2423148,NO REASON GIVEN
1,2423178,NO REASON GIVEN
1,2423315,NO REASON GIVEN
0,2423316,NO REASON GIVEN
1,2423378,NO REASON GIVEN
1,2423466,NO REASON GIVEN
0,2423476,NO REASON GIVEN
1,2423505,NO REASON GIVEN
1,2423546,NO REASON GIVEN
1,2423553,NO REASON GIVEN
0,2423554,NO REASON GIVEN
0,2423581,NO REASON GIVEN
1,2423592,NO REASON GIVEN
1,2423625,NO REASON GIVEN
1,2424071,NO REASON GIVEN
1,2424123,NO REASON GIVEN
0,2424142,NO REASON GIVEN
1,2424143,NO REASON GIVEN
0,2424379,NO REASON GIVEN
1,2424410,NO REASON GIVEN
1,2424503,NO REASON GIVEN
1,2424617,NO REASON GIVEN
0,2424649,NO REASON GIVEN
0,2424650,NO REASON GIVEN
0,2424671,NO REASON GIVEN
0,2424769,NO REASON GIVEN
1,2424983,NO REASON GIVEN
1,2424986,NO REASON GIVEN
1,2425019,NO REASON GIVEN
0,2425237,NO REASON GIVEN
1,2425349,NO REASON GIVEN
1,2425349,NO REASON GIVEN
1,2425471,NO REASON GIVEN
1,2425480,NO REASON GIVEN
0,2425495,NO REASON GIVEN
0,2425502,NO REASON GIVEN
1,2425516,NO REASON GIVEN
1,2425595,NO REASON GIVEN
1,2425767,NO REASON GIVEN
0,2425823,NO REASON GIVEN
0,2425880,UNKNOWN
1,2426001,NO REASON GIVEN
1,2426033,NO REASON GIVEN
0,2426038,NO REASON GIVEN
1,2426040,NO REASON GIVEN
0,2426045,NO REASON GIVEN
1,2426262,NO REASON GIVEN
1,2426270,NO REASON GIVEN
1,2426498,NO REASON GIVEN
1,2426556,NO REASON GIVEN
1,2426704,NO REASON GIVEN
0,2426791,NO REASON GIVEN
1,2426802,NO REASON GIVEN
0,2426814,NO REASON GIVEN
0,2426839,NO REASON GIVEN
1,2426842,NO REASON GIVEN
1,2426865,NO REASON GIVEN
1,2427169,NO REASON GIVEN
1,2427297,NO REASON GIVEN
0,2427487,NO REASON GIVEN
1,2427572,NO REASON GIVEN
1,2427674,NO REASON GIVEN
1,2427697,NO REASON GIVEN
1,2427702,NO REASON GIVEN
0,2427824,NO REASON GIVEN
1,2427968,NO REASON GIVEN
1,2427981,NO REASON GIVEN
1,2427985,NO REASON GIVEN
1,2428188,NO REASON GIVEN
0,2428213,NO REASON GIVEN
1,2428277,NO REASON GIVEN
0,2428398,NO REASON GIVEN
1,2428614,NO REASON GIVEN
0,2428626,NO REASON GIVEN
0,2428973,NO REASON GIVEN
1,2429379,NO REASON GIVEN
1,2429384,NO REASON GIVEN
1,2429385,NO REASON GIVEN
1,2429386,NO REASON GIVEN
0,2429540,NO REASON GIVEN
1,2429723,NO REASON GIVEN
0,2429847,NO REASON GIVEN
1,2429855,NO REASON GIVEN
0,2429918,NO REASON GIVEN
1,2429934,NO REASON GIVEN
0,2430026,NO REASON GIVEN
1,2430043,NO REASON GIVEN
0,2430124,NO REASON GIVEN
1,2430240,NO REASON GIVEN
1,2430568,NO REASON GIVEN
1,2430618,NO REASON GIVEN
1,2431062,NO REASON GIVEN
0,2431100,NO REASON GIVEN
0,2431488,NO REASON GIVEN
1,2431597,NO REASON GIVEN
0,2431803,NO REASON GIVEN
1,2431991,NO REASON GIVEN
0,2432013,NO REASON GIVEN
1,2432021,NO REASON GIVEN
1,2432021,NO REASON GIVEN
1,2432177,NO REASON GIVEN
0,2432249,NO REASON GIVEN
1,2432338,NO REASON GIVEN
1,2432369,NO REASON GIVEN
1,2432635,NO REASON GIVEN
1,2432655,NO REASON GIVEN
1,2432693,NO REASON GIVEN
0,2432758,NO REASON GIVEN
1,2432776,NO REASON GIVEN
1,2432784,NO REASON GIVEN
1,2433061,NO REASON GIVEN
0,2433213,NO REASON GIVEN
0,2433331,OPERATOR
0,2433496,NO REASON GIVEN
1,2433545,NO REASON GIVEN
0,2433569,OPERATOR
0,2433573,NO REASON GIVEN
0,2433595,NO REASON GIVEN
0,2433696,NO REASON GIVEN
0,2434295,NO REASON GIVEN
1,2434334,NO REASON GIVEN
1,2434663,NO REASON GIVEN
1,2434694,NO REASON GIVEN
1,2434697,NO REASON GIVEN
1,2434773,NO REASON GIVEN
0,2434825,NO REASON GIVEN
0,2434921,NO REASON GIVEN
1,2434968,NO REASON GIVEN
1,2434986,NO REASON GIVEN
1,2434998,NO REASON GIVEN
0,2435074,NO REASON GIVEN
1,2435238,NO REASON GIVEN
1,2435275,NO REASON GIVEN
1,2435412,NO REASON GIVEN
1,2435496,NO REASON GIVEN
1,2435500,NO REASON GIVEN
1,2435593,NO REASON GIVEN
1,2435727,NO REASON GIVEN
1,2435793,NO REASON GIVEN
1,2435817,NO REASON GIVEN
0,2435894,NO REASON GIVEN
1,2435954,NO REASON GIVEN
1,2436004,NO REASON GIVEN
1,2436456,NO REASON GIVEN
1,2436559,NO REASON GIVEN
1,2436633,NO REASON GIVEN
1,2436636,NO REASON GIVEN
1,2436658,NO REASON GIVEN
1,2436787,NO REASON GIVEN
0,2436894,NO REASON GIVEN
1,2436933,NO REASON GIVEN
0,2436956,NO REASON GIVEN
1,2437493,NO REASON GIVEN
1,2437757,NO REASON GIVEN
1,2437767,NO REASON GIVEN
1,2437810,NO REASON GIVEN
1,2437882,NO REASON GIVEN
0,2437883,NO REASON GIVEN
1,2438016,NO REASON GIVEN
0,2438248,NO REASON GIVEN
0,2438284,UNKNOWN
1,2438322,NO REASON GIVEN
0,2438346,NO REASON GIVEN
0,2438346,NO REASON GIVEN
0,2438428,NO REASON GIVEN
1,2438540,NO REASON GIVEN
1,2438636,NO REASON GIVEN
0,2439168,NO REASON GIVEN
1,2439318,NO REASON GIVEN
0,2439389,NO REASON GIVEN
0,2439574,NO REASON GIVEN
1,2440771,NO REASON GIVEN
1,2440772,NO REASON GIVEN
0,2440864,NO REASON GIVEN
1,2440891,NO REASON GIVEN
1,2441198,NO REASON GIVEN
1,2441219,NO REASON GIVEN
0,2441261,NO REASON GIVEN
0,2441457,NO REASON GIVEN
1,2441622,NO REASON GIVEN
1,2441994,NO REASON GIVEN
0,2441999,NO REASON GIVEN
0,2442088,NO REASON GIVEN
0,2442096,NO REASON GIVEN
0,2442096,NO REASON GIVEN
1,2442231,NO REASON GIVEN
1,2442271,NO REASON GIVEN
1,2442419,NO REASON GIVEN
1,2442526,NO REASON GIVEN
1,2442755,NO REASON GIVEN
0,2442850,NO REASON GIVEN
0,2442970,NO REASON GIVEN
0,2443113,NO REASON GIVEN
1,2443122,NO REASON GIVEN
0,2443132,NO REASON GIVEN
0,2443211,NO REASON GIVEN
1,2443341,NO REASON GIVEN
